idx,im_loc,mos
0,(1)/(1)_0.0.png,0.0
1,(1)/(1)_0.1.png,0.1
2,(1)/(1)_0.2.png,0.2
3,(1)/(1)_0.3.png,0.3
4,(1)/(1)_0.4.png,0.4
5,(1)/(1)_0.5.png,0.5
6,(1)/(1)_0.6.png,0.6
7,(1)/(1)_0.7.png,0.7
8,(1)/(1)_0.8.png,0.8
9,(1)/(1)_0.9.png,0.9
10,(1)/(1)_1.0.png,1.0
11,(10)/(10)_0.0.png,0.0
12,(10)/(10)_0.1.png,0.1
13,(10)/(10)_0.2.png,0.2
14,(10)/(10)_0.3.png,0.3
15,(10)/(10)_0.4.png,0.4
16,(10)/(10)_0.5.png,0.5
17,(10)/(10)_0.6.png,0.6
18,(10)/(10)_0.7.png,0.7
19,(10)/(10)_0.8.png,0.8
20,(10)/(10)_0.9.png,0.9
21,(10)/(10)_1.0.png,1.0
22,(100)/(100)_0.0.png,0.0
23,(100)/(100)_0.1.png,0.1
24,(100)/(100)_0.2.png,0.2
25,(100)/(100)_0.3.png,0.3
26,(100)/(100)_0.4.png,0.4
27,(100)/(100)_0.5.png,0.5
28,(100)/(100)_0.6.png,0.6
29,(100)/(100)_0.7.png,0.7
30,(100)/(100)_0.8.png,0.8
31,(100)/(100)_0.9.png,0.9
32,(100)/(100)_1.0.png,1.0
33,(101)/(101)_0.0.png,0.0
34,(101)/(101)_0.1.png,0.1
35,(101)/(101)_0.2.png,0.2
36,(101)/(101)_0.3.png,0.3
37,(101)/(101)_0.4.png,0.4
38,(101)/(101)_0.5.png,0.5
39,(101)/(101)_0.6.png,0.6
40,(101)/(101)_0.7.png,0.7
41,(101)/(101)_0.8.png,0.8
42,(101)/(101)_0.9.png,0.9
43,(101)/(101)_1.0.png,1.0
44,(102)/(102)_0.0.png,0.0
45,(102)/(102)_0.1.png,0.1
46,(102)/(102)_0.2.png,0.2
47,(102)/(102)_0.3.png,0.3
48,(102)/(102)_0.4.png,0.4
49,(102)/(102)_0.5.png,0.5
50,(102)/(102)_0.6.png,0.6
51,(102)/(102)_0.7.png,0.7
52,(102)/(102)_0.8.png,0.8
53,(102)/(102)_0.9.png,0.9
54,(102)/(102)_1.0.png,1.0
55,(103)/(103)_0.0.png,0.0
56,(103)/(103)_0.1.png,0.1
57,(103)/(103)_0.2.png,0.2
58,(103)/(103)_0.3.png,0.3
59,(103)/(103)_0.4.png,0.4
60,(103)/(103)_0.5.png,0.5
61,(103)/(103)_0.6.png,0.6
62,(103)/(103)_0.7.png,0.7
63,(103)/(103)_0.8.png,0.8
64,(103)/(103)_0.9.png,0.9
65,(103)/(103)_1.0.png,1.0
66,(104)/(104)_0.0.png,0.0
67,(104)/(104)_0.1.png,0.1
68,(104)/(104)_0.2.png,0.2
69,(104)/(104)_0.3.png,0.3
70,(104)/(104)_0.4.png,0.4
71,(104)/(104)_0.5.png,0.5
72,(104)/(104)_0.6.png,0.6
73,(104)/(104)_0.7.png,0.7
74,(104)/(104)_0.8.png,0.8
